Time Bucket (America/New_York),Downstairs_1 (kWhs),Downstairs_2 (kWhs),Radon/Ejector Pump (kWhs),Kitchen Outlets 2 (kWhs),Laundry Outlets (kWhs),Girls/Mud/Library Outlet (kWhs),Utility Room Outlets (kWhs),Outside Outlets E/S/Stai (kWhs),Garage Outlets 1 (kWhs),Garage Outlets 2 (kWhs),Well (kWhs),Bath 1 Outlets (kWhs),Water Heater (kWhs),East Bonus Outlets (kWhs),Girls/Mud/Library Lights (kWhs),Ryan/Hall/Stair Outlets (kWhs),Ryan/Garage Lights (kWhs),Bonus/Kitchen/etc Lights (kWhs)
08/14/2021 16:00:00,1.0461,1.1756,0.0027,0.0046,0.0915,0.1445,0.0000,0.0000,0.0000,0.0779,0.0497,0.0005,1.6780,0.0000,0.0564,0.0000,0.0448,0.0677
08/14/2021 17:00:00,0.5662,0.5006,0.0000,0.1519,0.0912,0.0333,0.0000,0.0000,0.0000,0.0750,0.0226,0.0004,0.5323,0.0000,0.0375,0.0000,0.0223,0.0916
08/14/2021 18:00:00,0.5259,0.6030,0.0000,0.0117,0.0913,0.0337,0.0000,0.0000,0.0000,0.0743,0.0218,0.0000,0.6996,0.0000,0.0629,0.0000,0.0139,0.1114
08/14/2021 19:00:00,0.2050,0.2610,0.0005,0.0052,0.0866,0.0276,0.0000,0.0000,0.0000,0.0689,0.0043,0.0000,0.1176,0.0078,0.0491,0.0014,0.0150,0.0699
08/14/2021 20:00:00,0.3288,0.4302,0.0021,0.0035,0.0718,0.0083,0.0000,0.0000,0.0000,0.0535,0.0171,0.0000,0.4703,0.0313,0.0099,0.0056,0.0156,0.0632
08/14/2021 21:00:00,0.3680,0.5032,0.0000,0.0049,0.1027,0.0293,0.0000,0.0036,0.0000,0.0737,0.0225,0.0000,0.4603,0.0456,0.0048,0.0048,0.0346,0.0729
08/14/2021 22:00:00,0.7915,0.9328,0.0083,0.0001,0.1036,0.0813,0.0000,0.0000,0.0000,0.0232,0.1028,0.0051,1.3312,0.0000,0.0250,0.0095,0.0161,0.0030
08/14/2021 23:00:00,0.8497,0.9390,0.0000,0.0001,0.1038,0.0126,0.0000,0.0000,0.0000,0.0005,0.0000,0.0020,1.6313,0.0000,0.0107,0.0038,0.0136,0.0000
08/15/2021 00:00:00,0.0827,0.1255,0.0000,0.0001,0.1035,0.0128,0.0000,0.0000,0.0000,0.0555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,0.0138,0.0000
08/15/2021 01:00:00,0.3979,0.4228,0.0000,0.0001,0.1039,0.0076,0.0000,0.0000,0.0000,0.0772,0.0000,0.0000,0.5999,0.0000,0.0000,0.0052,0.0138,0.0000
