Time Bucket (America/New_York),Upstairs_1 (kWhs),Upstairs_2 (kWhs),Total kWhs,Dryer (kWhs),Upstairs Inside HVAC (kWhs),Kitchen 1 Outlets (kWhs),Dishwasher (Disposal) (kWhs),Basement Outside HVAC (kWhs),Master Bath Outlets (kWhs),Master Outlets / Attic (kWhs),Upstairs Outside HVAC (kWhs),Dining Room Outlets (kWhs),Bonus West Outlets (kWhs),Fridge (kWhs),Basement Inside HVAC (kWhs),Lights 1-LR/DR/Master (kWhs),Outlets 1 - LR / Hall (kWhs),Stove (kWhs),Washer / Fridge 2 (kWhs)
8/7/2021 0:00,9.521,11.0341,20.5551,5.4212,1.322,0,0,3.4862,0.0001,0.5021,6.5937,0.3744,0.9882,0.875,0.6369,0.235,0,0,0.3657
8/8/2021 0:00,17.3497,18.3327,35.68,0,2.3543,0.1341,2.1859,7.2143,0.0002,0.6246,12.5206,0.8883,2.2024,1.6107,1.3699,0.4376,0.0642,2.5883,1.1311
8/9/2021 0:00,16.1726,16.6396,32.81,0,2.0566,0,1.1414,8.9019,0.0001,1.275,10.3805,0.8805,1.3741,2.0248,1.5794,0.4672,0,1.5553,0.8487
8/10/2021 0:00,25.4096,27.6694,53.08,15.0068,2.6961,0.0023,0.6911,8.5239,0.0001,1.374,14.8016,0.8858,1.7022,2.2914,1.4938,0.927,0.0007,2.0632,1.1998
8/11/2021 0:00,18.0494,18.8889,36.94,3.0932,2.0448,0.2124,1.1708,10.2648,0.0002,1.2319,10.2537,0.8665,1.3118,1.9844,1.7547,0.5077,0,1.1939,0.9258
8/12/2021 0:00,25.5733,27.4168,52.99,9.3994,2.7956,0.2923,1.6564,8.9566,0.0003,1.3539,15.48,0.8675,1.8039,2.3731,1.5611,0.5428,0.0121,4.8897,1.2295
8/13/2021 0:00,23.5778,25.6944,49.27,13.5583,2.637,0.1555,1.1105,8.2676,0.0001,1.358,14.4885,0.8695,1.6542,2.1702,1.4474,0.6043,0.0184,0.2633,1.1898
8/14/2021 0:00,13.3723,15.1551,28.53,1.0372,1.7938,0,1.11,6.5161,0.0001,0.7339,8.314,0.8156,1.9082,2.1432,1.2074,0.4334,0.0026,1.3344,0.8616
8/15/2021 0:00,14.5444,15.6724,30.22,0,2.2393,0.6522,1.3786,4.4238,0.0002,0.6297,11.045,0.8565,1.2219,2.2604,0.9833,1.0746,0,2.1283,0.977
8/16/2021 0:00,19.414,20.7579,40.17,7.2141,2.3151,0.032,1.1186,6.8685,0.0002,1.2631,11.2389,0.8631,1.5557,2.1692,1.3062,0.5436,0,2.7881,0.9705
