Time Bucket (America/New_York),Upstairs_1 (kWhs),Upstairs_2 (kWhs),Dryer (kWhs),Upstairs Inside HVAC (kWhs),Kitchen 1 Outlets (kWhs),Dishwasher (Disposal) (kWhs),Basement Outside HVAC (kWhs),Master Bath Outlets (kWhs),Master Outlets / Attic (kWhs),Upstairs Outside HVAC (kWhs),Dining Room Outlets (kWhs),Bonus West Outlets (kWhs),Fridge (kWhs),Basement Inside HVAC (kWhs),Lights 1-LR/DR/Master (kWhs),Outlets 1 - LR / Hall (kWhs),Stove (kWhs),Washer / Fridge 2 (kWhs)
08/07/2021 14:00:00,0.7704,0.8518,0.0000,0.1745,0.0000,0.0000,0.3143,0.0000,0.0052,0.8798,0.0407,0.0326,0.0684,0.0549,0.0045,0.0000,0.0000,0.0346
08/07/2021 15:00:00,0.9990,1.1278,0.0000,0.2099,0.0000,0.0000,0.4421,0.0000,0.0065,1.1634,0.0378,0.0752,0.0637,0.0738,0.0006,0.0000,0.0000,0.0361
08/07/2021 16:00:00,1.0354,1.1363,0.0000,0.2000,0.0000,0.0000,0.3870,0.0000,0.0801,1.0901,0.0375,0.1026,0.1204,0.0685,0.0363,0.0000,0.0000,0.0332
08/07/2021 17:00:00,1.6447,1.8177,1.5411,0.1850,0.0000,0.0000,0.3887,0.0000,0.0520,1.0053,0.0383,0.0740,0.0385,0.0671,0.0319,0.0000,0.0000,0.1012
08/07/2021 18:00:00,0.9859,1.1879,0.8656,0.1256,0.0000,0.0000,0.3280,0.0000,0.0234,0.6161,0.0373,0.0393,0.1167,0.0593,0.0000,0.0000,0.0000,0.0279
08/07/2021 19:00:00,1.0055,1.2286,0.6337,0.1332,0.0000,0.0000,0.4255,0.0000,0.0233,0.6526,0.0369,0.0453,0.1894,0.0724,0.0028,0.0000,0.0000,0.0275
08/07/2021 20:00:00,1.7829,2.0689,2.3808,0.1113,0.0000,0.0000,0.3588,0.0000,0.1435,0.5188,0.0375,0.1936,0.1203,0.0685,0.0917,0.0000,0.0000,0.0270
08/07/2021 21:00:00,0.6212,0.8825,0.0001,0.1278,0.0000,0.0000,0.2893,0.0000,0.0226,0.5703,0.0362,0.2720,0.0525,0.0581,0.0309,0.0000,0.0000,0.0267
08/07/2021 22:00:00,0.3633,0.4394,0.0000,0.0379,0.0000,0.0000,0.2801,0.0000,0.0675,0.0973,0.0359,0.1242,0.0459,0.0573,0.0169,0.0000,0.0000,0.0261
08/07/2021 23:00:00,0.3125,0.2933,0.0000,0.0168,0.0000,0.0000,0.2724,0.0000,0.0780,0.0000,0.0362,0.0295,0.0593,0.0571,0.0195,0.0000,0.0000,0.0253
08/08/2021 00:00:00,0.2473,0.2596,0.0000,0.0169,0.0000,0.0000,0.1929,0.0000,0.0547,0.0000,0.0362,0.0334,0.0683,0.0439,0.0232,0.0000,0.0000,0.0251
08/08/2021 01:00:00,0.1851,0.2561,0.0000,0.0169,0.0000,0.0000,0.2039,0.0000,0.0064,0.0000,0.0362,0.0324,0.0593,0.0479,0.0000,0.0000,0.0000,0.0240
08/08/2021 02:00:00,0.2211,0.3525,0.0000,0.0170,0.0000,0.0000,0.2664,0.0000,0.0064,0.0000,0.0359,0.0293,0.0279,0.0578,0.0000,0.0000,0.0000,0.1191
08/08/2021 03:00:00,0.2065,0.3004,0.0000,0.0169,0.0000,0.0000,0.2432,0.0000,0.0064,0.0000,0.0357,0.0295,0.0435,0.0524,0.0000,0.0000,0.0000,0.0655
08/08/2021 04:00:00,0.1527,0.2288,0.0000,0.0171,0.0000,0.0000,0.1455,0.0000,0.0064,0.0000,0.0358,0.0294,0.0604,0.0399,0.0010,0.0000,0.0000,0.0311
08/08/2021 05:00:00,0.2152,0.2850,0.0000,0.0170,0.0000,0.0000,0.2557,0.0000,0.0064,0.0000,0.0356,0.0292,0.0604,0.0573,0.0000,0.0000,0.0000,0.0252
08/08/2021 06:00:00,0.1478,0.1889,0.0000,0.0170,0.0000,0.0000,0.1270,0.0000,0.0094,0.0000,0.0351,0.0292,0.0390,0.0353,0.0058,0.0000,0.0000,0.0242
08/08/2021 07:00:00,0.2912,0.2919,0.0000,0.0169,0.0000,0.0000,0.3291,0.0000,0.0073,0.0000,0.0350,0.0292,0.0267,0.0688,0.0355,0.0000,0.0000,0.0225
08/08/2021 08:00:00,0.3335,0.3575,0.0000,0.0164,0.0000,0.0000,0.3204,0.0000,0.0079,0.0000,0.0369,0.0353,0.0706,0.0670,0.0815,0.0000,0.0000,0.0448
08/08/2021 09:00:00,0.6693,0.4681,0.0000,0.0161,0.1341,0.4382,0.2725,0.0000,0.0067,0.0000,0.0351,0.0292,0.0624,0.0549,0.0123,0.0000,0.0000,0.0655
08/08/2021 10:00:00,0.4426,0.2767,0.0000,0.0159,0.0000,0.2597,0.2143,0.0000,0.0066,0.0000,0.0345,0.0300,0.0411,0.0423,0.0000,0.0000,0.0000,0.0636
08/08/2021 11:00:00,0.6058,0.2723,0.0000,0.0155,0.0000,0.4144,0.2269,0.0000,0.0067,0.0000,0.0350,0.0313,0.0287,0.0446,0.0000,0.0000,0.0000,0.0624
08/08/2021 12:00:00,0.3994,0.5064,0.0000,0.0550,0.0000,0.0000,0.3335,0.0000,0.0064,0.2353,0.0359,0.0343,0.0705,0.0569,0.0085,0.0000,0.0000,0.0558
08/08/2021 13:00:00,1.1540,1.5719,0.0000,0.1633,0.0000,0.0000,0.3266,0.0000,0.0065,0.9685,0.0357,0.2537,0.1262,0.0555,0.0370,0.0000,0.6148,0.1202
08/08/2021 14:00:00,1.0604,1.4736,0.0000,0.2136,0.0000,0.0000,0.3412,0.0000,0.0501,1.3044,0.0358,0.2477,0.1897,0.0567,0.0059,0.0000,0.0000,0.0699
08/08/2021 15:00:00,1.5081,1.8130,0.0000,0.2630,0.0000,0.0000,0.4829,0.0000,0.0459,1.7043,0.0387,0.2694,0.0897,0.0755,0.0008,0.0000,0.2990,0.0310
08/08/2021 16:00:00,1.3482,1.5688,0.0000,0.2751,0.0000,0.0000,0.3672,0.0000,0.0535,1.7715,0.0358,0.1348,0.1133,0.0594,0.0121,0.0382,0.0000,0.0375
08/08/2021 17:00:00,1.3524,1.4738,0.0000,0.2924,0.0000,0.0000,0.3335,0.0000,0.0797,1.7449,0.0408,0.1327,0.0507,0.0562,0.0086,0.0259,0.0000,0.0422
08/08/2021 18:00:00,1.9535,1.9819,0.0000,0.2414,0.0000,0.0000,0.4000,0.0000,0.0456,1.4260,0.0413,0.0753,0.0595,0.0657,0.0406,0.0000,1.4854,0.0300
08/08/2021 19:00:00,1.2906,1.5013,0.0000,0.2580,0.0000,0.0000,0.3938,0.0000,0.0241,1.5207,0.0391,0.2094,0.1009,0.0660,0.0999,0.0000,0.0000,0.0631
08/08/2021 20:00:00,0.9471,1.0682,0.0000,0.1985,0.0000,0.0534,0.2911,0.0000,0.0233,1.0660,0.0406,0.1927,0.0303,0.0550,0.0168,0.0000,0.0000,0.0304
08/08/2021 21:00:00,1.3368,0.9714,0.0000,0.1585,0.0000,0.5809,0.3492,0.0000,0.0236,0.7790,0.0392,0.1787,0.0805,0.0665,0.0115,0.0000,0.0000,0.0271
08/08/2021 22:00:00,0.8643,0.4956,0.0000,0.0194,0.0000,0.4387,0.3523,0.0000,0.0507,0.0000,0.0418,0.0728,0.0787,0.0652,0.0171,0.0000,0.1892,0.0255
08/08/2021 23:00:00,0.4169,0.3688,0.0000,0.0166,0.0000,0.0005,0.4453,0.0000,0.0839,0.0000,0.0365,0.0335,0.0327,0.0793,0.0195,0.0000,0.0000,0.0255
08/09/2021 00:00:00,0.2776,0.2998,0.0000,0.0168,0.0000,0.0000,0.3090,0.0000,0.0195,0.0000,0.0366,0.0303,0.0432,0.0634,0.0214,0.0000,0.0000,0.0252
08/09/2021 01:00:00,0.2391,0.3033,0.0000,0.0165,0.0000,0.0000,0.2730,0.0000,0.0065,0.0000,0.0422,0.0294,0.0699,0.0563,0.0118,0.0000,0.0000,0.0252
08/09/2021 02:00:00,0.2093,0.2722,0.0000,0.0167,0.0000,0.0000,0.2231,0.0000,0.0065,0.0000,0.0416,0.0294,0.0677,0.0475,0.0118,0.0000,0.0000,0.0255
08/09/2021 03:00:00,0.1858,0.2241,0.0000,0.0167,0.0000,0.0000,0.1810,0.0000,0.0065,0.0000,0.0408,0.0291,0.0429,0.0438,0.0118,0.0000,0.0000,0.0247
